Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
John T. Stasko,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,9.0,0.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,15.0,-1.0,4.0,-1.0
Kresimir Matkovic,-1.0,-1.0,0.0,10.0,17.0,7.0,-1.0,-1.0,15.0,15.0,15.0,-1.0,-1.0,-1.0,-1.0,16.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jian Zhao 0010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,2.0,6.0,6.0,0.0,6.0,7.0,20.0,20.0,4.0,12.0,8.0
Michael Behrisch 0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,6.0,1.0,3.0,8.0,18.0,16.0,-1.0
Frank van Ham,-1.0,10.0,2.0,7.0,3.0,11.0,2.0,-1.0,10.0,0.0,20.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Stefan Bruckner,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,20.0,11.0,4.0,23.0,23.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Daniel A. Keim,-1.0,8.0,9.0,13.0,14.0,4.0,7.0,4.0,18.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Carlos Scheidegger,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,23.0,-1.0,-1.0,-1.0,-1.0,9.0,21.0,30.0,-1.0,-1.0,-1.0,7.0,14.0,-1.0
Zhicheng Liu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,9.0,0.0,4.0,2.0,-1.0,-1.0,4.0,12.0,-1.0,13.0,17.0,24.0,-1.0,-1.0
Dirk J. Lehmann,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,19.0,11.0,15.0,22.0,10.0,19.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0
David S. Ebert,0.0,12.0,13.0,-1.0,13.0,8.0,19.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Petra Isenberg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,3.0,0.0,7.0,14.0,2.0,2.0,6.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Aritra Dasgupta,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,-1.0,15.0,7.0,11.0,2.0,-1.0,13.0,21.0,-1.0,-1.0
Peer-Timo Bremer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,22.0,-1.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0,14.0,14.0,22.0,-1.0,-1.0
Jeffrey Heer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,5.0,8.0,20.0,-1.0,-1.0,4.0,12.0,8.0,24.0,-1.0,-1.0,-1.0,-1.0
Markus Hadwiger,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,19.0,10.0,-1.0,-1.0,6.0,13.0,16.0,-1.0,-1.0,10.0,15.0,18.0,10.0,-1.0,-1.0
Attila Gyulassy,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,4.0,6.0,22.0,-1.0,-1.0,-1.0,18.0,9.0,2.0,15.0,14.0,14.0,22.0,-1.0,-1.0
Daniela Oelke,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,18.0,3.0,21.0,7.0,-1.0,-1.0,-1.0,8.0,16.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
Johanna Beyer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,19.0,10.0,14.0,24.0,6.0,13.0,16.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0
Jens Schneider 0002,-1.0,-1.0,-1.0,0.0,16.0,16.0,-1.0,-1.0,17.0,-1.0,14.0,24.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Anastasia Bezerianos,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,24.0,0.0,14.0,2.0,2.0,6.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
Jo Wood,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,12.0,10.0,2.0,2.0,6.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Daniel Weiskopf,-1.0,-1.0,4.0,3.0,6.0,3.0,17.0,-1.0,-1.0,4.0,17.0,15.0,-1.0,10.0,23.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Holger Theisel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,7.0,21.0,10.0,19.0,11.0,15.0,22.0,10.0,19.0,25.0,18.0,19.0,25.0,-1.0,-1.0
Matthew Brehmer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5.0,26.0,-1.0,-1.0,2.0,0.0,13.0,9.0,-1.0
